,Total Deaths,Total Cases
Bomi County,32,52
Bong County,41,130
Gbarpolu County,0,1
Grand Bassa,12,40
Grand Cape Mount,7,9
Grand Gedeh,2,3
Grand Kru,0,0
Lofa County,284,571
Margibi County,93,183
Maryland County,0,0
Montserrado County,321,443
Nimba County,57,102
River Gee County,5,5
Rivercess County,1,1
Sinoe County,0,2
