,Newly Reported Cases in HCW on 27th Aug 2014,Cumulative  cases among HCW ,Newly Reported deaths in HCW on 27th Aug 2014,Cumulative  deaths among HCW 
National,0,137,0,71
Bomi County,0,5,0,4
Bong County,0,26,0,5
Gbarpolu County,0,0,0,0
Grand Bassa,0,3,0,1
Grand Cape Mount,0,3,0,0
Grand Gedeh,0,0,0,0
Grand Kru,0,0,0,0
Lofa County,0,20,0,17
Margibi County,0,30,0,18
Maryland County,0,0,0,0
Montserrado County,0,48,0,26
Nimba County,0,2,0,0
River Gee County,0,0,0,0
RiverCess County,0,0,0,0
Sinoe County,0,0,0,0
