Date,News contacts,Contacts completed ovservation,Contacts lost follow up
2-Aug-14,5,7,2
3-Aug-14,14,0,0
4-Aug-14,26,37,7
5-Aug-14,24,36,9
6-Aug-14,42,1,0
7-Aug-14,2,8,6
8-Aug-14,33,0,6
9-Aug-14,15,19,0
10-Aug-14,28,0,0
11-Aug-14,182,133,0
12-Aug-14,173,59,28
13-Aug-14,157,34,28
14-Aug-14,61,61,9
15-Aug-14,59,100,0
16-Aug-14,145,96,0
17-Aug-14,107,48,0
18-Aug-14,281,88,21
19-Aug-14,139,71,9
20-Aug-14,196,115,0
Grand Total,1689,913,125
