Date,1. Total new cases,2. New suspected cases,3. New probable cases,4. New confirmed cases
2-Aug-14,11,2,9,0
3-Aug-14,27,10,17,0
4-Aug-14,10,4,5,1
5-Aug-14,17,6,11,0
6-Aug-14,21,5,15,1
7-Aug-14,34,3,29,2
8-Aug-14,12,3,9,0
9-Aug-14,3,1,2,0
10-Aug-14,55,10,42,3
11-Aug-14,57,1,52,4
12-Aug-14,60,9,49,2
13-Aug-14,57,18,39,0
14-Aug-14,29,9,20,0
15-Aug-14,19,10,5,4
16-Aug-14,34,8,26,0
17-Aug-14,24,14,10,0
18-Aug-14,56,19,35,2
19-Aug-14,60,13,47,0
20-Aug-14,65,20,27,18
Grand Total,651,165,449,37
