Date,1. Total daily deaths,2. Daily deaths in suspected cases,3. Daily deaths in probable  cases,4. Daily deaths in confirmed cases
3-Aug-14,7,1,3,3
4-Aug-14,7,0,6,1
5-Aug-14,5,1,1,3
6-Aug-14,7,0,6,1
7-Aug-14,12,0,4,8
8-Aug-14,8,3,3,2
9-Aug-14,9,4,1,4
10-Aug-14,14,1,10,3
11-Aug-14,18,0,18,0
12-Aug-14,21,5,12,4
13-Aug-14,37,11,25,1
14-Aug-14,33,13,4,16
15-Aug-14,20,4,8,8
16-Aug-14,15,7,3,5
17-Aug-14,11,7,1,3
18-Aug-14,84,25,33,26
19-Aug-14,22,4,13,5
20-Aug-14,26,6,15,5
Grand Total,356,92,166,98
